2024-02-26,15:39,True
2024-02-26,15:44,True
2024-02-26,15:45,True
2024-02-26,15:48,True
2024-02-26,15:48,True
2024-02-26,15:51,True
2024-02-26,15:52,True
2024-02-26,15:52,True
2024-02-26,15:54,True
2024-02-26,15:55,True
2024-02-26,16:00,True
2024-02-26,16:05,True
2024-02-26,16:10,True
2024-02-26,16:15,True
2024-02-26,16:20,True
2024-02-26,16:25,True
2024-02-26,16:30,True
2024-02-26,16:35,True
2024-02-26,16:40,True
2024-02-26,16:45,True
2024-02-26,16:50,False
2024-02-26,16:55,True
2024-02-26,16:57,True
2024-02-26,17:50,True
2024-02-26,17:56,True
2024-02-26,17:57,True
2024-02-26,17:57,True
